Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Admission_grade_sqrt,Curricular_units_1st_sem_grade_reflect_log,Curricular_units_2nd_sem_grade_reflect_log,Curricular_units_1st_sem_category,Curricular_units_2nd_sem_category
4,39,1,9991,0,1,0.03690696313447821,1,37,37,6,6,136.2,0,0,0,1,0,0,39,0,0,5,6,5,11.0,0,0,5,9,5,11.666666666666666,0,10.8,1.4,1.74,Graduate,0.6595103604087504,0.15011400589872448,-0.09148886044468256,1,2
2,39,1,9238,1,1,-0.9565076038994943,1,37,37,9,9,116.0,0,0,0,1,0,0,44,0,0,6,8,6,13.0,0,0,6,6,6,13.833333333333334,0,12.7,3.7,-1.7,Graduate,-0.7538503845564709,-0.4473237708034709,-0.7702538266779949,2,3
1,1,2,8014,0,1,-2.7765037572441775,1,3,1,3,9,100.0,0,0,0,1,0,0,20,0,0,6,10,5,12.0,0,0,6,9,4,11.25,0,9.4,-0.8,-3.12,Enrolled,-1.9633804969933395,-0.12958724463951077,0.017356163475325672,2,1
1,1,1,9254,1,1,-1.1840071230675797,1,19,19,9,9,116.3,1,0,0,1,0,0,24,0,0,6,9,4,12.6,0,0,6,6,4,11.5,0,12.7,3.7,-1.7,Dropout,-0.7319968427333832,-0.31500796840412426,-0.04727767276564925,2,2
1,43,1,9773,1,1,-0.7290080847314089,1,19,19,9,8,134.0,0,0,0,1,0,1,20,0,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,12.4,0.5,1.79,Graduate,0.510913819242599,-0.6859724711132459,-0.5932246966900222,3,3
1,1,4,171,1,1,-0.425675392507295,1,1,1,9,5,124.2,1,0,0,0,0,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,-0.1663397414928885,2.036446916444918,1.8295193665134917,1,1
2,1,1,9500,1,1,1.3943207608373882,1,37,38,9,7,134.5,0,0,1,1,0,1,18,0,0,7,7,6,14.2,0,0,7,7,6,14.2,0,7.6,2.6,0.32,Graduate,0.5447922386915948,-0.8961298973235371,-0.9101721722280439,3,3
1,1,1,9254,1,1,-0.425675392507295,1,19,19,4,6,120.7,0,0,1,0,0,0,22,0,0,6,10,5,11.0,0,0,6,12,0,0.0,0,10.8,1.4,1.74,Dropout,-0.41465867467009215,0.15011400589872448,1.8295193665134917,1,1
1,17,1,9085,1,1,0.02932364582887579,1,19,1,4,5,127.1,1,0,0,1,0,0,18,0,0,6,7,6,15.0,0,0,6,7,6,16.428571428571427,0,11.1,0.6,2.02,Graduate,0.03677155416686848,-1.2516502438044783,-2.045822376338008,3,3
1,39,1,9500,1,19,0.03690696313447821,1,38,37,9,9,133.0,0,0,0,1,0,0,24,0,0,7,9,6,12.585714285714284,0,0,8,9,7,13.44285714285714,0,13.9,-0.3,0.79,Graduate,0.44296682902466583,-0.31041804593940947,-0.6307572532615472,2,3
1,39,1,9991,0,1,0.03690696313447821,1,37,37,90,8,128.2,0,0,0,1,0,0,33,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,12.7,3.7,-1.7,Dropout,0.11320674931481167,2.036446916444918,1.8295193665134917,1,1
1,39,1,9003,1,1,0.03690696313447821,1,37,37,3,8,130.0,0,0,1,1,0,1,30,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Enrolled,0.2375786059737014,2.036446916444918,1.8295193665134917,1,1
1,39,1,9085,1,43,2.0768193183416446,1,3,39,2,3,172.0,0,0,0,1,0,0,26,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout,2.9274318475381187,2.036446916444918,1.8295193665134917,1,1
1,17,4,9853,1,1,0.5601558572210751,1,19,38,4,1,128.5,1,0,0,1,0,0,18,0,0,6,7,6,11.666666666666666,0,0,6,10,6,11.833333333333334,0,10.8,1.4,1.74,Graduate,0.13399574397428166,-0.03259046479514083,-0.1366422140068575,2,2
1,1,1,9773,1,1,1.015154895557246,1,37,38,9,7,128.5,0,0,1,1,0,0,19,0,0,6,13,3,12.666666666666666,0,0,6,12,2,10.0,0,10.8,1.4,1.74,Dropout,0.13399574397428166,-0.33654747358697984,0.31389340433108354,2,1
1,17,4,9147,1,1,-1.5631729883477221,1,19,38,9,10,112.0,1,0,0,1,0,0,20,0,0,5,10,3,10.333333333333334,0,0,5,9,4,11.0,2,16.2,0.3,-0.92,Enrolled,-1.04797703128567,0.3195789830338134,0.08007666384140247,1,1
1,53,1,9085,1,42,0.5601558572210751,1,19,37,9,8,142.5,1,0,0,1,0,1,22,0,7,11,18,8,13.5,0,4,9,16,7,13.714285714285714,0,8.9,1.4,3.51,Graduate,1.0785208576484617,-0.6239897145645955,-0.7267430125018635,3,3
1,1,4,9500,1,1,0.25682316499696123,1,1,1,9,1,133.0,1,0,0,1,0,0,19,0,0,7,8,5,13.98,0,0,7,8,5,13.98,0,7.6,2.6,0.32,Enrolled,0.44296682902466583,-0.8071413512549787,-0.8251175066102724,3,3
1,1,1,9085,1,1,0.03690696313447821,1,37,38,7,5,106.0,1,0,0,1,0,1,21,0,0,6,13,6,16.153846153846153,0,0,6,10,6,15.75,0,15.5,2.8,-4.06,Graduate,-1.4991979561117348,-1.8835744867090938,-1.6315939061948195,3,3
1,1,4,9500,1,1,0.25682316499696123,1,19,38,4,8,125.5,1,0,0,1,0,1,21,0,0,7,7,6,14.033333333333331,0,0,7,7,6,14.033333333333331,0,7.6,2.6,0.32,Graduate,-0.0749998175297952,-0.8284055678370971,-0.8454254701884011,3,3
1,17,1,9085,1,1,0.10515681888490426,1,19,37,2,7,131.2,0,0,0,1,0,0,19,0,0,5,8,1,11.0,0,0,5,6,5,11.2,0,7.6,2.6,0.32,Enrolled,0.3200153629892071,0.15011400589872448,0.03004966772769843,1,1
1,1,1,9853,1,1,-0.8048412577874374,1,38,37,191,195,112.9,1,0,0,1,0,1,19,0,0,7,8,7,13.857142857142858,0,0,7,8,6,13.666666666666666,0,8.9,1.4,3.51,Graduate,-0.9813464281890386,-0.7588807959146515,-0.7095858159709496,3,3
1,1,6,9500,1,1,0.40848951110901816,1,19,19,9,5,124.8,1,0,0,1,0,0,18,0,0,8,8,7,13.414285714285716,0,0,8,8,7,13.414285714285716,0,12.7,3.7,-1.7,Dropout,-0.12412375082239985,-0.5927410066487685,-0.6209018764504767,3,3
2,43,1,8014,0,1,2.0768193183416446,1,37,39,9,4,140.9,0,0,0,1,0,0,50,0,7,11,11,11,13.545454545454543,0,3,7,7,7,13.571428571428571,0,16.2,0.3,-0.92,Graduate,0.9729979175194918,-0.6407319128435831,-0.6756826575798413,3,3
4,39,1,9991,0,1,-0.19817587333920963,1,38,19,9,7,148.0,0,0,0,1,0,1,31,0,0,5,11,4,11.25,0,0,5,10,4,10.833333333333334,0,13.9,-0.3,0.79,Enrolled,1.4368104362263072,0.0832605370523762,0.12088209370503468,1,1
1,17,1,9773,1,1,2.152652491397673,1,1,19,4,7,148.4,0,0,0,1,0,1,19,0,0,6,6,6,13.833333333333334,0,0,6,7,6,14.428571428571429,0,15.5,2.8,-4.06,Graduate,1.4626060629410462,-0.7496420386941152,-1.0023128713435643,3,3
4,39,1,9991,0,1,0.5601558572210751,1,1,37,141,192,129.7,0,0,0,1,0,0,35,0,0,5,8,5,12.0,0,0,5,9,5,12.857142857142858,0,13.9,-0.3,0.79,Graduate,0.2169100352390398,-0.12958724463951077,-0.43735281166841333,2,2
2,39,1,9085,1,19,0.03690696313447821,1,38,38,4,7,128.2,0,0,0,1,0,0,31,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,0.11320674931481167,2.036446916444918,1.8295193665134917,1,1
2,51,1,8014,0,19,0.03690696313447821,1,37,37,9,9,104.0,0,0,1,1,0,0,42,0,5,11,14,10,11.9,0,5,11,14,10,12.8,0,11.1,0.6,2.02,Enrolled,-1.652430272074424,-0.10006367024038901,-0.41939590593999887,2,2
1,18,4,9147,1,1,-0.19817587333920963,1,37,37,9,9,119.9,1,0,0,0,0,0,34,0,0,5,5,0,0.0,0,0,5,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,-0.4719208534850297,2.036446916444918,1.8295193665134917,1,1
1,1,1,9500,1,1,1.4701539338934166,1,1,1,4,4,141.0,1,0,0,1,0,1,18,0,0,7,7,7,15.135714285714286,0,0,8,8,8,15.287499999999998,0,12.4,0.5,1.79,Graduate,0.979610598359305,-1.3177089143795448,-1.389517478029876,3,3
1,17,1,9853,1,1,-0.577341738619352,1,3,3,3,3,116.6,1,0,0,0,0,1,18,0,0,7,7,7,12.285714285714286,0,0,7,8,6,13.333333333333334,0,8.9,1.4,3.51,Enrolled,-0.710171468775906,-0.2160529630117208,-0.5932246966900222,2,3
1,44,1,9085,1,39,0.5601558572210751,1,37,38,5,6,140.0,1,0,0,1,0,0,21,0,2,6,16,5,12.666666666666666,0,1,6,15,2,13.5,0,16.2,0.3,-0.92,Enrolled,0.9133778737855518,-0.33654747358697984,-0.6506065993013443,2,3
4,39,1,9500,1,19,0.03690696313447821,1,38,19,5,7,140.0,0,0,0,1,0,1,26,0,0,7,13,5,12.74,0,0,8,12,6,10.978571428571428,0,16.2,0.3,-0.92,Dropout,0.9133778737855518,-0.36047223188769334,0.08536730877349641,2,1
1,43,1,9500,1,1,2.8351510489019294,1,19,37,8,8,100.0,0,0,0,1,0,0,20,0,0,7,8,6,13.25,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Enrolled,-1.9633804969933395,-0.5339896870217876,-0.7397026993509345,3,3
1,1,1,9238,1,1,0.18098999194093274,1,38,38,5,7,121.0,0,0,0,1,0,0,19,0,0,6,13,3,10.333333333333334,0,0,6,12,3,10.333333333333334,0,7.6,2.6,0.32,Enrolled,-0.39323430238723744,0.3195789830338134,0.23878521009746487,1,1
1,1,1,9853,1,1,-0.577341738619352,1,19,19,5,5,117.0,0,0,0,1,0,1,19,0,0,6,7,6,13.428571428571429,0,0,6,6,6,13.166666666666666,0,15.5,2.8,-4.06,Graduate,-0.6811145991734775,-0.5979202278583589,-0.537355865609977,3,3
1,53,1,9147,1,42,0.5601558572210751,1,3,4,2,1,140.2,0,0,0,1,0,0,20,0,6,11,19,9,12.555555555555555,0,3,9,14,8,11.11111111111111,0,8.9,1.4,3.51,Graduate,0.9266432951950287,-0.3007576785904512,0.05242983106357542,2,1
1,1,1,9238,1,1,-0.6531749116753804,1,34,34,0,0,129.3,0,0,0,1,0,0,19,0,0,6,8,6,11.5,0,0,6,7,6,11.166666666666666,0,7.6,2.6,0.32,Graduate,0.18931472176240613,0.014440510220084973,0.03846995434723837,1,1
1,1,1,9853,1,1,0.5601558572210751,1,37,37,9,9,145.3,0,0,0,1,0,0,18,0,0,6,6,6,13.666666666666666,0,0,6,9,6,12.333333333333334,0,7.6,2.6,0.32,Graduate,1.2617703871631547,-0.6859724711132459,-0.2781795429202013,3,2
1,39,1,9991,0,3,-0.19817587333920963,1,37,37,9,9,146.2,0,0,0,1,0,0,28,0,10,14,16,11,11.272727272727272,0,6,11,16,10,12.0,0,10.8,1.4,1.74,Graduate,1.3202963868343103,0.07708715028873961,-0.18277876565418802,1,2
1,17,1,9853,1,1,0.10515681888490426,1,1,19,4,5,122.5,1,0,0,1,0,0,22,0,0,6,10,5,13.166666666666666,0,0,6,8,5,12.4,0,15.5,2.8,-4.06,Enrolled,-0.28650862264991855,-0.5047429033749147,-0.2977861803186012,3,2
1,44,1,8014,0,39,2.0768193183416446,1,37,37,7,7,156.1,0,0,0,1,0,1,21,0,3,6,6,6,14.666666666666666,0,2,6,6,6,14.166666666666666,0,13.9,-0.3,0.79,Graduate,1.9525618502578206,-1.0969021392571965,-0.8970635883417576,3,3
1,44,1,9085,1,39,0.5601558572210751,1,4,38,4,5,140.0,1,0,0,1,0,0,21,0,0,6,11,4,12.75,0,0,6,19,1,11.0,0,12.4,0.5,1.79,Enrolled,0.9133778737855518,-0.36375373624893487,0.08007666384140247,2,1
1,39,1,9500,1,1,1.3184875877813598,1,1,19,5,3,140.0,0,1,0,1,0,0,26,0,0,7,11,5,11.2,0,0,8,13,5,12.14,0,16.2,0.3,-0.92,Enrolled,0.9133778737855518,0.0967849228366777,-0.22232522207900082,1,2
1,1,6,9773,1,1,0.6359890302771035,1,30,37,7,7,128.4,1,0,1,0,0,0,18,0,0,6,8,5,13.0,0,0,6,8,5,11.4,0,7.6,2.6,0.32,Dropout,0.12706877808164968,-0.4473237708034709,-0.02118707863621259,2,2
1,17,2,9085,1,1,-0.9565076038994943,1,1,1,9,10,115.0,0,0,0,0,0,0,20,0,0,5,8,2,10.5,0,0,5,8,2,12.333333333333334,0,7.6,2.6,0.32,Dropout,-0.8269003677845127,0.27834950691336396,-0.2781795429202013,1,2
1,17,2,9085,1,1,2.531818356677815,1,1,19,4,3,158.7,0,0,0,1,0,0,18,0,0,6,7,6,14.857142857142858,0,0,6,7,6,14.0,0,11.1,0.6,2.02,Graduate,2.115260812378784,-1.184072630035596,-0.8327102024034606,3,3
1,1,4,9500,1,1,1.0909880686132745,1,1,1,4,9,124.5,1,0,0,1,0,1,19,0,0,8,11,7,12.86,0,0,8,11,7,12.86,0,10.8,1.4,1.74,Graduate,-0.14521903048396076,-0.40015734825483235,-0.4382546640737966,2,2
1,51,1,9238,1,1,-0.8806744308434659,1,3,19,3,10,111.9,1,0,0,1,0,0,20,0,5,11,12,11,11.727272727272728,0,5,11,14,11,12.0,0,12.4,0.5,1.79,Graduate,-1.0553969313706237,-0.049929773247620594,-0.18277876565418802,2,2
1,44,1,9085,1,39,1.3184875877813598,1,38,37,4,6,150.0,1,0,0,1,0,1,22,0,3,6,11,6,13.142857142857142,0,2,6,10,3,12.0,0,13.9,-0.3,0.79,Graduate,1.5654425487340737,-0.4964533916885217,-0.18277876565418802,3,2
1,17,1,9670,1,1,-0.6531749116753804,1,37,19,5,8,114.2,1,0,1,1,0,0,18,0,0,6,6,5,11.8,0,0,6,9,4,13.714285714285714,0,10.8,1.4,1.74,Dropout,-0.8855693338820249,-0.07090800043075002,-0.7267430125018635,2,3
1,17,1,9147,1,1,-2.7765037572441775,1,38,37,6,4,96.0,1,0,0,1,0,0,19,0,0,5,10,3,10.666666666666666,0,0,5,9,0,0.0,3,16.2,0.3,-0.92,Dropout,-2.2806144496236143,0.23638044930985078,1.8295193665134917,1,1
1,17,4,9070,1,1,-0.577341738619352,1,1,3,3,3,128.9,0,0,0,1,0,1,18,0,0,6,9,5,11.6,0,0,6,8,4,11.2,0,8.9,1.4,3.51,Enrolled,0.16167669100553134,-0.013664479082327886,0.03004966772769843,2,1
1,17,1,9254,1,1,0.25682316499696123,1,37,37,7,7,121.7,1,0,0,1,0,0,20,0,0,6,13,3,10.333333333333334,0,0,6,12,3,10.333333333333334,0,10.8,1.4,1.74,Enrolled,-0.3433471520737339,0.3195789830338134,0.23878521009746487,1,1
1,1,1,9773,1,1,-0.9565076038994943,1,38,37,9,9,114.8,1,1,0,1,0,0,19,0,0,6,11,4,12.25,0,0,6,11,3,11.0,0,7.6,2.6,0.32,Enrolled,-0.8415484280388859,-0.20506837839384456,0.08007666384140247,2,1
1,1,1,9254,1,1,-0.3498422194512666,1,19,38,9,9,127.0,0,0,0,1,0,0,19,0,0,6,6,6,12.0,0,0,6,7,4,12.75,0,12.4,0.5,1.79,Enrolled,0.02980652773268164,-0.12958724463951077,-0.40380748527924615,2,2
1,17,1,9500,1,1,0.7118222033331321,1,37,37,5,5,131.3,1,0,0,1,0,0,19,0,0,8,8,7,14.731428571428571,0,0,8,8,7,14.731428571428571,0,10.8,1.4,1.74,Graduate,0.3268680429124994,-1.126177176203423,-1.1309176666440108,3,3
1,1,1,171,1,1,0.18098999194093274,1,1,19,3,9,137.1,1,0,0,1,0,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Graduate,0.7199536893747074,2.036446916444918,1.8295193665134917,1,1
1,7,1,9070,1,40,-0.9565076038994943,1,1,19,3,9,120.0,1,0,0,1,0,0,21,0,9,13,14,13,13.615384615384617,1,6,12,12,12,14.25,0,13.9,-0.3,0.79,Graduate,-0.46475265572119034,-0.6667253725398133,-0.9299883692437474,3,3
1,39,1,9991,0,40,0.5601558572210751,1,1,19,9,9,139.0,0,0,0,1,0,0,27,0,0,5,5,5,15.8,0,0,5,5,5,14.8,0,8.9,1.4,3.51,Graduate,0.8469081783376426,-1.6710421576570313,-1.1611522180684772,3,3
1,17,1,9238,1,1,0.18098999194093274,1,1,19,4,4,129.1,0,0,0,1,0,0,19,0,0,6,6,6,14.666666666666666,0,0,6,7,6,14.571428571428571,0,15.5,2.8,-4.06,Graduate,0.1755010584450038,-1.0969021392571965,-1.0620042043682043,3,3
4,39,1,9085,1,1,0.03690696313447821,1,34,34,0,0,128.2,0,0,0,1,0,0,25,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,0.11320674931481167,2.036446916444918,1.8295193665134917,1,1
1,1,2,9500,1,1,0.33265633805298966,1,19,19,7,7,120.8,1,0,0,1,0,1,18,0,0,8,8,7,14.654285714285717,0,0,8,8,7,14.654285714285717,0,10.8,1.4,1.74,Graduate,-0.40751426195194346,-1.0913469092261512,-1.097411633637239,3,3
1,39,1,9500,1,3,-0.8048412577874374,1,19,1,4,8,135.8,0,0,0,1,0,0,24,0,0,8,8,7,12.401428571428571,0,0,8,8,7,12.401428571428571,0,10.8,1.4,1.74,Graduate,0.6325825680452057,-0.25200144907443545,-0.2982083144358375,2,2
1,1,3,9500,1,1,-0.3498422194512666,1,1,1,4,10,118.9,1,0,0,1,0,0,20,0,0,7,8,7,11.5875,0,0,8,9,7,14.071428571428571,0,13.9,-0.3,0.79,Graduate,-0.5437678940477126,-0.010132837315890788,-0.860051255226292,2,3
1,7,1,9991,0,40,0.5601558572210751,1,37,37,6,6,140.0,0,0,0,1,0,0,26,0,3,5,5,5,14.0,0,1,5,5,5,15.6,0,12.4,0.5,1.79,Graduate,0.9133778737855518,-0.8150928023269663,-1.550012893015042,3,3
1,1,1,9238,1,1,-0.04650952722715268,1,1,38,9,7,127.1,1,0,0,1,0,1,20,0,0,6,9,6,12.333333333333334,0,0,6,6,6,11.833333333333334,0,8.9,1.4,3.51,Graduate,0.03677155416686848,-0.23077976049762666,-0.1366422140068575,2,2
1,1,1,9085,1,1,-0.12234270028318116,1,37,37,90,90,137.0,0,0,0,1,0,0,18,0,0,5,5,5,14.0,0,0,5,6,5,15.4,0,7.6,2.6,0.32,Graduate,0.7132475807684427,-0.8150928023269663,-1.4459055313680733,3,3
1,1,1,9085,1,1,-0.5015085655633235,1,1,1,9,9,127.4,1,0,0,1,0,0,19,0,0,6,13,6,15.23076923076923,0,0,6,10,6,12.375,0,15.5,2.8,-4.06,Graduate,0.057650209739981806,-1.3651130672493603,-0.29041241430818804,3,2
1,1,1,9853,1,1,0.03690696313447821,1,19,19,9,9,97.0,1,0,0,1,0,0,23,0,0,6,9,5,11.6,0,0,6,9,3,11.0,0,12.7,3.7,-1.7,Dropout,-2.200695844347588,-0.013664479082327886,0.08007666384140247,2,1
1,1,4,9500,1,1,0.25682316499696123,1,37,37,9,9,126.3,1,0,0,1,0,1,18,0,0,7,7,6,11.6,0,0,7,7,6,11.6,0,7.6,2.6,0.32,Graduate,-0.019025634284362863,-0.013664479082327886,-0.07369353645992804,2,2
1,1,4,9500,1,1,0.5601558572210751,1,1,19,4,5,127.5,0,0,0,1,0,0,18,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.7,3.7,-1.7,Dropout,0.06460429776620459,2.036446916444918,1.8295193665134917,1,1
1,1,1,9500,1,1,0.18098999194093274,1,2,1,2,8,126.6,0,0,0,1,0,1,19,0,0,7,7,7,12.901428571428571,0,0,8,9,8,13.094444444444443,0,11.1,0.6,2.02,Graduate,0.0019189627721349013,-0.4140159783474544,-0.513596131758877,2,3
1,42,1,9991,0,1,2.0768193183416446,1,1,2,4,3,120.0,0,0,0,1,0,0,30,0,4,7,9,7,14.142857142857142,0,1,5,5,5,14.8,0,7.6,2.6,0.32,Graduate,-0.46475265572119034,-0.8726886269691064,-1.1611522180684772,3,3
1,44,1,9085,1,39,0.5601558572210751,1,1,2,4,6,140.0,1,0,0,1,0,0,29,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout,0.9133778737855518,2.036446916444918,1.8295193665134917,1,1
1,1,6,9500,1,1,0.5601558572210751,1,3,1,3,3,131.5,1,0,0,1,0,0,19,0,0,8,8,8,13.25375,0,0,8,8,8,13.25375,0,9.4,-0.8,-3.12,Graduate,0.3405655785745037,-0.5353144273946508,-0.5663634995245013,3,3
1,17,6,9556,1,1,-1.3356734691796368,1,19,2,5,3,112.2,1,0,0,1,0,0,20,0,0,7,7,7,13.785714285714286,0,0,8,8,8,14.1,0,12.4,0.5,1.79,Graduate,-1.0331471618353747,-0.73127325169818,-0.8710872291033206,3,3
1,1,1,9500,1,1,0.8634885494451889,1,37,37,9,3,150.5,0,0,0,1,0,0,20,0,0,7,7,6,13.916666666666666,0,0,7,7,6,13.916666666666666,0,7.6,2.6,0.32,Graduate,1.5974663594132583,-0.7821385642251689,-0.801251903774269,3,3
1,1,4,9670,1,1,-0.3498422194512666,1,38,38,3,7,121.0,1,0,0,1,0,0,19,0,0,6,8,6,13.5,0,0,6,9,6,13.571428571428571,0,11.1,0.6,2.02,Graduate,-0.39323430238723744,-0.6239897145645955,-0.6756826575798413,3,3
1,17,1,9147,1,1,-1.2598402961236081,1,38,2,9,2,112.2,1,0,0,1,0,0,20,0,0,5,8,3,11.333333333333334,0,0,5,12,2,10.666666666666666,0,10.8,1.4,1.74,Enrolled,-1.0331471618353747,0.06054470593924564,0.1609165244659042,1,1
3,1,2,9085,1,1,0.18098999194093274,1,19,1,4,4,129.4,1,0,0,1,0,0,21,0,0,5,8,0,0.0,4,0,5,12,0,0.0,4,10.8,1.4,1.74,Dropout,0.19621754713719222,2.036446916444918,1.8295193665134917,1,1
1,17,1,9670,1,1,-0.8806744308434659,1,19,38,4,10,114.4,0,0,0,1,0,0,19,0,0,6,10,5,11.5,0,0,6,9,4,14.6,0,11.1,0.6,2.02,Graduate,-0.8708828775831766,0.014440510220084973,-1.074146943584818,1,3
1,1,3,9500,1,1,0.10515681888490426,1,37,38,9,9,120.3,1,0,0,1,0,1,18,0,0,8,8,7,12.082857142857142,0,0,8,8,7,12.082857142857142,0,10.8,1.4,1.74,Graduate,-0.4432659642864071,-0.15433504701078463,-0.2060945629067434,2,2
1,39,1,8014,0,1,-0.9565076038994943,1,37,37,7,8,120.0,0,0,0,1,0,1,27,0,0,6,8,6,11.833333333333334,0,0,6,10,5,12.8,0,15.5,2.8,-4.06,Graduate,-0.46475265572119034,-0.0805862447418641,-0.41939590593999887,2,2
1,17,2,9147,1,1,-0.577341738619352,1,38,38,6,8,114.5,1,0,0,1,0,1,19,0,0,5,6,5,13.4,0,0,5,5,5,12.4,0,12.4,0.5,1.79,Graduate,-0.8635444636146575,-0.5875732249210661,-0.2977861803186012,3,2
1,1,1,9500,1,1,0.6359890302771035,1,1,1,90,3,127.8,0,0,0,1,0,1,19,0,0,7,7,0,0.0,2,0,7,7,0,0.0,2,7.6,2.6,0.32,Dropout,0.08545021530267832,2.036446916444918,1.8295193665134917,1,1
1,1,1,9773,1,1,0.5601558572210751,1,1,19,4,8,124.6,1,0,0,1,0,0,19,0,0,6,7,5,14.2,0,0,6,7,6,14.571428571428571,0,15.5,2.8,-4.06,Graduate,-0.13818444942852168,-0.8961298973235371,-1.0620042043682043,3,3
1,1,6,9500,1,1,0.8634885494451889,1,19,19,5,5,130.3,1,0,0,1,0,1,18,0,0,8,8,7,13.814285714285717,0,0,8,8,7,13.814285714285717,0,12.7,3.7,-1.7,Graduate,0.25822334208446057,-0.7422772095525244,-0.7632317748678197,3,3
1,17,1,9254,1,1,-0.8048412577874374,1,19,19,5,5,118.2,0,0,0,1,0,1,20,0,0,6,10,4,11.25,0,0,6,6,6,10.5,0,12.4,0.5,1.79,Enrolled,-0.5942407441704578,0.0832605370523762,0.20020855197338808,1,1
1,1,1,9670,1,1,-0.19817587333920963,1,19,37,4,5,118.8,0,0,0,1,0,1,18,0,0,6,6,6,14.5,0,0,6,8,6,13.666666666666666,0,12.7,3.7,-1.7,Graduate,-0.5509691875519823,-1.023204322834648,-0.7095858159709496,3,3
1,1,5,9670,1,1,0.03690696313447821,1,9,1,2,4,133.0,1,0,0,1,0,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,7.6,2.6,0.32,Dropout,0.44296682902466583,2.036446916444918,1.8295193665134917,1,1
2,39,1,9500,1,19,0.03690696313447821,1,37,37,9,9,129.0,1,0,0,1,0,0,36,0,0,7,7,6,11.3,0,0,7,7,6,11.3,0,7.6,2.6,0.32,Graduate,0.16859021429590695,0.06965752067646677,0.004586158950856479,1,1
1,43,1,9556,1,1,1.0909880686132745,1,3,4,3,2,100.0,0,0,0,1,0,0,18,0,0,2,2,0,0.0,0,0,4,4,1,16.0,0,10.8,1.4,1.74,Enrolled,-1.9633804969933395,2.036446916444918,-1.7749559649202906,1,3
1,43,1,9130,1,1,-0.425675392507295,1,19,38,4,5,120.7,1,0,1,1,0,0,18,0,0,5,11,1,12.0,0,0,5,9,3,12.0,0,12.7,3.7,-1.7,Enrolled,-0.41465867467009215,-0.12958724463951077,-0.18277876565418802,2,2
1,17,6,9500,1,1,0.25682316499696123,1,19,38,9,3,132.5,1,0,0,1,0,0,19,0,0,8,9,7,12.3,0,0,8,9,7,12.3,0,12.7,3.7,-1.7,Graduate,0.4088975433948491,-0.22046127750665157,-0.2684438412758258,2,2
1,1,5,9500,1,1,-0.425675392507295,1,19,19,7,8,120.3,1,0,0,1,0,1,18,0,0,8,8,7,12.694285714285714,0,0,8,8,7,12.694285714285714,0,10.8,1.4,1.74,Graduate,-0.4432659642864071,-0.3455294026843003,-0.38657156052290903,2,2
1,17,1,9670,1,1,-0.7290080847314089,1,19,19,1,1,114.6,0,0,0,1,0,0,18,0,0,5,5,4,11.0,0,0,5,5,4,11.0,0,9.4,-0.8,-3.12,Graduate,-0.8562092534946485,0.15011400589872448,0.08007666384140247,1,1
1,1,1,9238,1,1,-0.3498422194512666,1,37,19,9,3,116.5,1,0,0,1,0,1,19,0,0,6,6,6,13.0,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate,-0.7174434703861149,-0.4473237708034709,-0.8970635883417576,2,3
1,1,1,9500,1,1,-0.3498422194512666,1,3,1,2,1,127.8,0,0,0,1,0,1,19,0,0,7,8,7,14.4125,0,0,8,8,8,16.05,0,13.9,-0.3,0.79,Graduate,0.08545021530267832,-0.9854226816100803,-1.804830206727565,3,3
1,1,2,9500,1,1,0.5601558572210751,1,1,19,7,7,129.9,1,0,0,1,0,0,18,0,0,7,8,7,12.92875,0,0,8,8,8,14.0625,0,15.5,2.8,-4.06,Dropout,0.23069173476328386,-0.4232006310210974,-0.8566142679447919,2,3
